"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-68.2201152951477,0.665177353019174,-182.421361561112,2.0963728718096,-11.6421300069689,0.015573822802678,0.54735521328205,0.771071685441492,0
"2 Global fit",-68.4106273364141,11.8094742884138,-183.016051075429,37.1945748304033,-11.6481990953698,0.28268619259869,0.54735521328205,0.771071685441492,0
