"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-77.627781510727,1.1590212498199,-205.376026710521,3.56008344491663,-13.9304068264591,0.0556735355447149,0.414705077877241,0.803154134131306,0.626449200568333
"2 Global fit",-78.7080450914274,5.29972443083519,-208.666384198432,16.2507539639934,-13.9901660322837,0.26246188794059,0.414705077877241,0.803154134131306,0.626449200568333
