"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-62.4688321811447,1.26470189545892,-151.763018809553,3.74842421756097,-15.3995318973618,0.102428314167217,0.435108744899302,1.2924382392968,4.62570276602094
"2 Global fit",-62.6621294532658,9.86485788381809,-152.32689532922,29.2243507788063,-15.4179428669082,0.803031109138936,0.435108744899302,1.2924382392968,4.62570276602094
