"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-46.3529614018215,0.58805858404618,-119.082770609483,1.92073948089827,-9.41944009729039,0.00960647083880016,0.255776913358245,0.686403621277659,7.4486830250645
"2 Global fit",-46.8769978292777,2.8739685105157,-120.78242747299,9.36852870036266,-9.41632794852983,0.0412210715205736,0.255776913358245,0.686403621277659,7.4486830250645
