"Method","H","SE.H","S","SE.S","G","SE.G","K_error","R","Kd.opt"
"1 VH plot",-55.0136261277785,0.289189789612468,-133.862941126247,0.883119884416063,-13.4960349374731,0.0154044854973986,0.327964082812296,1.06534072633566,3.39486331702407
"2 Global fit",-55.1049724010448,7.57150540017458,-134.140604390173,23.1027388800387,-13.5012639494327,0.408923039825315,0.327964082812296,1.06534072633566,3.39486331702407
